id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,predicted_cluster
0oKk9ZasGeMKR3L1ostOv8,Me Asusta Pero Me Gusta,40,160440,0,['Ana Bárbara'],['43qxAkuKFB6fMNSeS5dO7Z'],1995-01-01,0.836,0.594,4,-12.286,0,0.0494,0.0876,0.000159,0.0513,0.572,94.171,4,1
3rqNbu3pkx6wthuAXAtaGd,Hawaii Song,53,304613,0,['Stick Figure'],['5SXEylV07TC57eanSxxg4R'],2009-11-03,0.825,0.596,3,-9.578,0,0.0609,0.0541,0.442,0.205,0.422,96.987,4,1
4S46tRndFu4myTPdoYNV4j,Cual Es la Diferencia Entre Tu y Yo,37,243600,0,"['Baby Rasta & Gringo', 'Felo Man']","['3IEvQoAohcGX7CdrbtIle7', '4zAP8Dpdtt7e5qGLsdzpQ1']",2001,0.844,0.586,2,-5.44,1,0.179,0.229,0.000421,0.0847,0.5,92.024,4,1
05kaceCg4omq1n1k6Ai2eh,Bigote Mojado,38,158662,0,['Joan Sebastian'],['7FsRH5bw8iWpSbMX1G7xf1'],1993-10-04,0.83,0.599,0,-6.556,1,0.0963,0.6,0.0,0.105,0.795,94.953,4,1
4LbEUmACVAFj8e0WrMUdlN,Rock Your Body,54,221228,0,['Burna Boy'],['3wcj11K77LjEY1PkEazffa'],2018-01-26,0.801,0.623,0,-7.861,1,0.0982,0.107,0.00396,0.0853,0.801,104.985,4,1
4XKtNegKyGMCdgIdCxfcMQ,Que Poca,49,202733,0,['Los Invasores De Nuevo León'],['5CGtBYmVPeLhI1kM2Fn9Gv'],2000-01-01,0.8,0.62,0,-6.357,1,0.0275,0.344,0.0,0.197,0.952,104.189,4,1
2rahWhhubhQMhG6coo7Vu9,Kaya,56,195733,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1978,0.827,0.601,11,-8.828,1,0.0633,0.0346,2.67e-05,0.0565,0.83,97.548,4,1
64KSEeZCZ3QVlU7I9GoDyo,Rip It Up - Take 4,15,108427,0,['Little Richard'],['4xls23Ye9WR9yy3yYMpAMm'],1957-03,0.836,0.595,10,-7.047,1,0.437,0.126,4.09e-06,0.139,0.692,93.906,4,1
3kIJym55OkLvKHw1VToWSt,Dying On The Vine,39,320960,0,['John Cale'],['5MWBg16f5UYiaSlyVhzlIW'],1985,0.786,0.635,0,-13.096,0,0.0278,0.448,0.0393,0.106,0.892,109.716,4,1
45jM2fuCq0NHD9p7xn0ptd,¿Cual Es Tu Plan?,69,243700,1,"['Bad Bunny', 'Ñejo', 'Pj Sin Suela', 'DJ Nelson']","['4q3ewBCX7sLwd24euuV69X', '2OHKEe204spO7G7NcbeO2o', '0AdjzZxHJ4MfbImx2rD0Df', '2ydZrTy8U3kOMOzx20s3dg']",2018-08-17,0.822,0.601,5,-5.418,0,0.297,0.415,0.0,0.0797,0.872,96.123,4,1
2CsvoscUUS2rzyi5LfYWHA,Dead Man Walking,14,191425,0,['Quarashi'],['23usj4WXxVWSxiffMuCkxM'],2004-01-01,0.843,0.59,5,-11.323,0,0.0674,0.0531,0.0,0.0846,0.874,91.52,4,1
2WQKHNETUytUGsD32TTNeO,Medication,65,222467,1,"['Damian Marley', 'Stephen Marley']","['3QJzdZJYIAcoET1GcfpNGi', '0CIwCGmQMqHqiblnZlFia1']",2017-07-21,0.865,0.562,10,-6.811,0,0.251,0.0318,0.0,0.246,0.81,85.02,4,1
1DrlLvlYd1FIjNavRm6NdX,Back Pocket,64,181260,0,['Vulfpeck'],['7pXu47GoqSYRajmBCjxdD6'],2015-10-09,0.839,0.585,2,-7.738,1,0.153,0.478,0.00281,0.0435,0.89,89.821,4,1
0FtvDdEHr1wET98GSiimS5,Mala Mala,46,180506,0,['Joan Sebastian'],['7FsRH5bw8iWpSbMX1G7xf1'],1990-01-01,0.822,0.606,10,-7.212,1,0.0817,0.331,0.0,0.0652,0.971,97.348,4,1
6uRXQW8BqB3N9WKfe9gfdw,Title 허밍,37,102307,0,['이경섭'],['191huMISbbIeUELiiEGZ7L'],2007-11-09,0.825,0.604,7,-6.348,0,0.0417,0.376,1.48e-06,0.0875,0.898,98.272,4,1
