index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
40,0.863,0.842,11,-4.904,1,0.168,0.123,0.0,0.254,0.721,95.0,audio_features,4BHxiwDg9fTfEsPbEgGwHm,spotify:track:4BHxiwDg9fTfEsPbEgGwHm,https://api.spotify.com/v1/tracks/4BHxiwDg9fTfEsPbEgGwHm,https://api.spotify.com/v1/audio-analysis/4BHxiwDg9fTfEsPbEgGwHm,175453,4,0
41,0.748,0.894,9,-2.833,0,0.0768,0.196,0.0,0.213,0.739,92.994,audio_features,5cwcxBgYP6LyYxPedNaXIE,spotify:track:5cwcxBgYP6LyYxPedNaXIE,https://api.spotify.com/v1/tracks/5cwcxBgYP6LyYxPedNaXIE,https://api.spotify.com/v1/audio-analysis/5cwcxBgYP6LyYxPedNaXIE,168813,4,0
42,0.872,0.786,1,-5.473,1,0.142,0.0348,0.0,0.0776,0.722,96.002,audio_features,1kQqiC1rS1FiuVpeBKN0QN,spotify:track:1kQqiC1rS1FiuVpeBKN0QN,https://api.spotify.com/v1/tracks/1kQqiC1rS1FiuVpeBKN0QN,https://api.spotify.com/v1/audio-analysis/1kQqiC1rS1FiuVpeBKN0QN,172680,4,1
43,0.908,0.895,11,-2.688,1,0.0685,0.458,5.36e-05,0.103,0.813,95.006,audio_features,4xbpR5hcFLY3UcXk4PKqhh,spotify:track:4xbpR5hcFLY3UcXk4PKqhh,https://api.spotify.com/v1/tracks/4xbpR5hcFLY3UcXk4PKqhh,https://api.spotify.com/v1/audio-analysis/4xbpR5hcFLY3UcXk4PKqhh,164336,4,0
44,0.768,0.753,0,-5.905,1,0.12,0.145,0.00368,0.0907,0.729,94.977,audio_features,2h2BxMOTXrYAApqWQ6ZqTy,spotify:track:2h2BxMOTXrYAApqWQ6ZqTy,https://api.spotify.com/v1/tracks/2h2BxMOTXrYAApqWQ6ZqTy,https://api.spotify.com/v1/audio-analysis/2h2BxMOTXrYAApqWQ6ZqTy,185973,4,1
45,0.772,0.927,0,-3.8,1,0.0639,0.0916,0.00672,0.242,0.84,82.027,audio_features,3zyu1YrtgFRdrc16HIQior,spotify:track:3zyu1YrtgFRdrc16HIQior,https://api.spotify.com/v1/tracks/3zyu1YrtgFRdrc16HIQior,https://api.spotify.com/v1/audio-analysis/3zyu1YrtgFRdrc16HIQior,169400,4,1
46,0.842,0.681,4,-8.149,0,0.0544,0.0115,2.65e-06,0.113,0.238,96.017,audio_features,15PxHZffHMndHQjmzYuGUv,spotify:track:15PxHZffHMndHQjmzYuGUv,https://api.spotify.com/v1/tracks/15PxHZffHMndHQjmzYuGUv,https://api.spotify.com/v1/audio-analysis/15PxHZffHMndHQjmzYuGUv,232587,4,1
47,0.877,0.768,11,-6.962,0,0.0593,0.0376,1.01e-06,0.0491,0.856,93.991,audio_features,5WVZfMIrS6hbvwG8hpRHCR,spotify:track:5WVZfMIrS6hbvwG8hpRHCR,https://api.spotify.com/v1/tracks/5WVZfMIrS6hbvwG8hpRHCR,https://api.spotify.com/v1/audio-analysis/5WVZfMIrS6hbvwG8hpRHCR,234880,4,0
48,0.84,0.532,11,-9.987,1,0.062,0.00664,4.86e-05,0.0566,0.862,93.021,audio_features,2fluIBSYliMwB4OMH9soFP,spotify:track:2fluIBSYliMwB4OMH9soFP,https://api.spotify.com/v1/tracks/2fluIBSYliMwB4OMH9soFP,https://api.spotify.com/v1/audio-analysis/2fluIBSYliMwB4OMH9soFP,198133,4,0
49,0.808,0.697,10,-5.899,1,0.241,0.041,0.0,0.0546,0.554,95.06,audio_features,5gflgO9EPbIBf16n5TKnQS,spotify:track:5gflgO9EPbIBf16n5TKnQS,https://api.spotify.com/v1/tracks/5gflgO9EPbIBf16n5TKnQS,https://api.spotify.com/v1/audio-analysis/5gflgO9EPbIBf16n5TKnQS,232020,4,0
,,,,,,,,,,,,,,,,,,,
